GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tpFoyer-17,tn.foyer,TpFoyer17Application,5,3,0,0,2,1,1,1,1,1
tpFoyer-17,tn.foyer.configurations,WebConfig,0,40,0,0,0,6,0,2,0,2
tpFoyer-17,tn.foyer.configurations,SpringDocConfig,0,145,0,0,0,38,0,10,0,10
tpFoyer-17,tn.foyer.services.service,BlocService,41,10,0,0,8,2,7,2,7,2
tpFoyer-17,tn.foyer.services.service,ChambreService,108,16,4,0,20,2,13,2,11,2
tpFoyer-17,tn.foyer.services.service,FoyerService,83,16,4,0,16,2,8,2,6,2
tpFoyer-17,tn.foyer.services.service,UniversiteService,67,13,0,0,11,2,6,2,6,2
tpFoyer-17,tn.foyer.services.service,EtudiantService,0,78,0,0,0,16,0,9,0,9
tpFoyer-17,tn.foyer.services.service,ReservationService,244,19,34,0,45,2,29,2,9,2
tpFoyer-17,tn.foyer.controllers,UniversiteController,30,10,0,0,6,2,6,2,6,2
tpFoyer-17,tn.foyer.controllers,EtudiantController,28,10,0,0,7,2,6,2,6,2
tpFoyer-17,tn.foyer.controllers,ReservationController,37,10,0,0,7,2,7,2,7,2
tpFoyer-17,tn.foyer.controllers,BlocController,34,10,0,0,8,2,7,2,7,2
tpFoyer-17,tn.foyer.controllers,FoyerController,30,10,0,0,7,2,6,2,6,2
tpFoyer-17,tn.foyer.controllers,ChambreController,52,10,0,0,10,2,10,2,10,2
tpFoyer-17,tn.foyer.entities.enumerations,TypeChambre,0,21,0,0,0,4,0,1,0,1
tpFoyer-17,tn.foyer.entities,Universite.UniversiteBuilder,45,0,0,0,1,0,7,0,7,0
tpFoyer-17,tn.foyer.entities,Universite,51,3,0,0,8,1,10,1,10,1
tpFoyer-17,tn.foyer.entities,Bloc.BlocBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.foyer.entities,Foyer,61,3,0,0,9,1,12,1,12,1
tpFoyer-17,tn.foyer.entities,Foyer.FoyerBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.foyer.entities,Reservation,58,0,0,0,9,0,12,0,12,0
tpFoyer-17,tn.foyer.entities,Etudiant,7,38,0,0,1,7,2,11,2,11
tpFoyer-17,tn.foyer.entities,Chambre,61,3,0,0,9,1,12,1,12,1
tpFoyer-17,tn.foyer.entities,Chambre.ChambreBuilder,54,0,0,0,1,0,8,0,8,0
tpFoyer-17,tn.foyer.entities,Bloc,61,3,0,0,9,1,12,1,12,1
tpFoyer-17,tn.foyer.entities,Reservation.ReservationBuilder,45,0,0,0,1,0,7,0,7,0
